,Long Swap USDPLN,Short Swap USDPLN,1st Close,2nd Close,1st Exposure,2nd Exposure,Dzienny Profit,Long Swap USDNOK,Short Swap USDNOK,Daily P/L
2014-03-19,-6.388888888888888e-05,5.046296296296297e-05,6.04736,3.04711,100134.5323135148,-100000,1469.7140854166128,-6.301369863013698e-05,4.97716894977169e-05,1470.3267727466352
2014-03-20,-6.0386473429951696e-05,4.777777777777778e-05,6.0538,3.0633,100134.5323135148,-100000,-448.7422602784072,-5.9559261465157844e-05,4.7123287671232866e-05,-448.1677332340138
2014-03-21,-6.507201646090533e-05,5.131826741996233e-05,6.05,3.05212,100134.5323135148,-100000,319.7465396858606,-6.418061897513951e-05,5.061527745530532e-05,320.36567327634043
2014-03-24,-6.262626262626262e-05,4.930555555555557e-05,6.01748,3.04974,100134.5323135148,-100000,-447.4534114229873,-6.176836861768368e-05,4.8630136986301385e-05,-446.86456128835016
2014-03-25,-5.650522317188983e-05,4.440069991251093e-05,6.03422,3.0461,100134.5323135148,-100000,397.90516812532405,-5.5731179018850246e-05,4.3792471146586125e-05,398.4379646371557
2014-03-26,-5.650522317188983e-05,4.7358834244080144e-05,6.04985,3.0367,100134.5323135148,-100000,577.4762316115921,-5.5731179018850246e-05,4.671008309005165e-05,578.1133422698667
2014-03-27,-5.066666666666666e-05,4.4532627865961194e-05,5.9975,3.0418,100134.5323135148,-100000,-1030.3723107123133,-4.9972602739726025e-05,4.392259186779734e-05,-1029.7426333373603
2014-03-28,-5.650522317188983e-05,4.7358834244080144e-05,6.00617,3.04088,100134.5323135148,-100000,174.23224376528287,-5.5731179018850246e-05,4.671008309005165e-05,174.86050220886258
2014-03-31,-6.0717797443461174e-05,4.2188805346700084e-05,5.98165,3.03809,100134.5323135148,-100000,-307.88249584852474,-5.9886046793550746e-05,4.161087650633433e-05,-307.4963432735187
2014-04-01,-6.262626262626262e-05,4.930555555555557e-05,5.97815,3.0302,100134.5323135148,-100000,215.24695217291355,-6.176836861768368e-05,4.8630136986301385e-05,215.83946528371717
2014-04-02,-6.577568134171907e-05,5.0376647834274954e-05,5.97238,3.03252,100134.5323135148,-100000,-176.18038960723788,-6.48746446110106e-05,4.968655676805201e-05,-175.60688134465184
2014-04-03,-5.439814814814815e-05,4.5555555555555546e-05,6.00713,3.03964,100134.5323135148,-100000,327.3368133893373,-5.365296803652968e-05,4.493150684931506e-05,327.94117253036706
2014-04-04,-6.269113149847094e-05,4.925303454715219e-05,5.99479,3.04245,100134.5323135148,-100000,-299.77689634272883,-6.183234887520423e-05,4.857833544376655e-05,-299.190857796921
2014-04-07,-5.439814814814815e-05,4.5555555555555546e-05,5.9887,3.04445,100134.5323135148,-100000,-169.2818002762424,-5.365296803652968e-05,4.493150684931506e-05,-168.6825613401504
2014-04-08,-6.558641975308641e-05,5.178907721280602e-05,5.97328,3.0345,100134.5323135148,-100000,88.07114345838545,-6.468797564687975e-05,5.107963779893197e-05,88.69340664495664
2014-04-09,-6.651376146788991e-05,5.275443510737629e-05,5.937,3.0266,100134.5323135148,-100000,-331.5997944648234,-6.560261405052156e-05,5.20317716127547e-05,-330.96323386441
2014-04-10,-6.610082304526749e-05,4.90063233965673e-05,5.92363,3.0106,100134.5323135148,-100000,334.6315379641237,-6.519533231861998e-05,4.833500389798419e-05,335.1572522384096
2014-04-11,-6.396534148827726e-05,5.1587301587301586e-05,5.94119,3.0246,100134.5323135148,-100000,-194.6437846814888,-6.308910393364333e-05,5.088062622309198e-05,-194.00151578743868
2014-04-14,-5.902777777777777e-05,4.4444444444444447e-05,5.96257,3.03005,100134.5323135148,-100000,167.82354792765818,-5.821917808219179e-05,4.383561643835617e-05,168.31261267235385
2014-04-15,-5.021367521367521e-05,3.518518518518518e-05,5.94803,3.03838,100134.5323135148,-100000,-531.2021777764958,-4.9525816649104315e-05,3.470319634703196e-05,-530.8779157848901
2014-04-16,-6.0717797443461174e-05,5.225988700564971e-05,5.9711,3.0377,100134.5323135148,-100000,408.1337277002904,-5.9886046793550746e-05,5.154399814255862e-05,408.84982369765163
2014-04-17,-6.15079365079365e-05,5.434782608695653e-05,5.98437,3.0323,100134.5323135148,-100000,406.7879260171767,-6.0665362035225044e-05,5.3603335318642056e-05,407.56512922537706
2014-04-18,-6.313131313131312e-05,5.115740740740741e-05,5.9832,3.0291,100134.5323135148,-100000,91.708166197026,-6.2266500622665e-05,5.045662100456622e-05,92.35494211853043
2014-04-21,-6.0717797443461174e-05,5.434782608695653e-05,5.98638,3.0306,100134.5323135148,-100000,0.4865409825742972,-5.9886046793550746e-05,5.3603335318642056e-05,1.2781260532305574
2014-04-22,-5.4444444444444446e-05,4.594017094017093e-05,5.97964,3.0379,100134.5323135148,-100000,-364.2560009476511,-5.36986301369863e-05,4.531085353003161e-05,-363.6429990768309
