20050516 02:00,6.4156,6.3997,6.4354,6.4062,0,6.4206,6.4047,6.4404,6.4112,0
20050517 02:00,6.4064,6.3862,6.431,6.4197,0,6.4114,6.3892,6.436,6.4247,0
20050518 02:00,6.4194,6.3841,6.4255,6.3953,0,6.4244,6.3891,6.4305,6.4003,0
20050519 02:00,6.3954,6.3936,6.4368,6.409,0,6.4004,6.3986,6.4398,6.414,0
20050520 02:00,6.409,6.4041,6.4788,6.4601,0,6.414,6.4091,6.4838,6.4651,0
20050523 02:00,6.4596,6.4389,6.4815,6.4602,0,6.4646,6.4419,6.4845,6.4652,0
20050524 02:00,6.4605,6.4036,6.4616,6.4183,0,6.4655,6.4066,6.4666,6.4233,0
20050525 02:00,6.4183,6.3584,6.431,6.3673,0,6.4233,6.3634,6.434,6.3723,0
20050526 02:00,6.3676,6.3634,6.4009,6.3858,0,6.3726,6.367,6.4039,6.3908,0
20050527 02:00,6.3855,6.329,6.3874,6.3514,0,6.3905,6.3353,6.3924,6.3564,0
20050530 02:00,6.3512,6.3505,6.4437,6.4287,0,6.3562,6.355,6.4487,6.4337,0
20050531 02:00,6.4285,6.4058,6.4576,6.4451,0,6.4335,6.4088,6.4626,6.4501,0
20050601 02:00,6.4451,6.42,6.4906,6.4664,0,6.4501,6.425,6.4956,6.4714,0
20050602 02:00,6.4664,6.435,6.4805,6.4408,0,6.4714,6.438,6.4855,6.4458,0
20050603 02:00,6.4408,6.4005,6.4754,6.4452,0,6.4458,6.4065,6.4804,6.4502,0
20050606 02:00,6.4452,6.3941,6.4562,6.4202,0,6.4502,6.3971,6.4612,6.4252,0
20050607 02:00,6.4205,6.3858,6.4213,6.3939,0,6.4255,6.3896,6.4263,6.3989,0
20050608 02:00,6.3939,6.3805,6.4816,6.4642,0,6.3989,6.3855,6.4866,6.4692,0
20050609 02:00,6.4642,6.441,6.4823,6.4561,0,6.4692,6.444,6.4853,6.4611,0
20050610 02:00,6.4561,6.402,6.4985,6.4829,0,6.4611,6.405,6.5035,6.4879,0
20050613 02:00,6.4827,6.4713,6.5303,6.4914,0,6.4877,6.4743,6.5333,6.4944,0
20050614 02:00,6.4911,6.4751,6.5527,6.527,0,6.4941,6.4781,6.5557,6.532,0
20050615 02:00,6.527,6.4923,6.5573,6.531,0,6.532,6.4973,6.5603,6.536,0
20050616 02:00,6.5307,6.4721,6.5324,6.4941,0,6.5357,6.4751,6.5374,6.4991,0
20050617 02:00,6.4941,6.4121,6.5017,6.4316,0,6.4991,6.4245,6.5067,6.4366,0
20050620 02:00,6.4316,6.4258,6.4843,6.4774,0,6.4366,6.4298,6.4883,6.4814,0
20050621 02:00,6.4771,6.4382,6.5187,6.4579,0,6.4811,6.4432,6.5217,6.4629,0
20050622 02:00,6.4579,6.4448,6.512,6.494,0,6.4629,6.4488,6.517,6.499,0
20050623 02:00,6.4943,6.4924,6.6062,6.5996,0,6.4993,6.4974,6.6122,6.6056,0
20050624 02:00,6.5999,6.5454,6.6201,6.5517,0,6.6059,6.5504,6.626,6.5567,0
20050627 02:00,6.5514,6.512,6.5522,6.5312,0,6.5564,6.515,6.5572,6.5362,0
