,Open Bid_x,Open Bid_y,Open Ask_y,Long Swap USDNOK,Open Bid_x,Open Bid_y,Open Ask_y
2020-05-27,-0.02,-0.11,0.19,-5.95238095238095e-06,-0.02,0.42,0.92
2020-05-28,-0.02,-0.11,0.19,-5.95238095238095e-06,-0.02,0.42,0.92
2020-05-29,-0.02,-0.11,0.19,-5.95238095238095e-06,-0.02,0.16,0.66
2020-05-30,-0.02,-0.11,0.19,-5.95238095238095e-06,-0.02,0.16,0.66
2020-05-31,-0.02,-0.11,0.19,-5.95238095238095e-06,-0.02,0.16,0.66
2020-06-01,-0.02,-0.11,0.19,-5.95238095238095e-06,-0.02,0.45,0.85
2020-06-02,-0.02,-0.11,0.19,-5.95238095238095e-06,-0.02,0.16,0.66
2020-06-03,-0.02,-0.11,0.19,-5.95238095238095e-06,-0.02,0.15,0.65
2020-06-04,-0.02,-0.11,0.19,-5.95238095238095e-06,-0.02,0.02,0.52
2020-06-05,-0.01,-0.11,0.19,-5.611672278338944e-06,-0.01,0.05,0.55
2020-06-06,-0.01,-0.11,0.19,-5.611672278338944e-06,-0.01,0.05,0.55
2020-06-07,-0.01,-0.11,0.19,-5.611672278338944e-06,-0.01,0.05,0.55
2020-06-08,-0.01,-0.11,0.19,-5.611672278338944e-06,-0.01,0.01,0.51
2020-06-09,-0.01,-0.11,0.19,-5.611672278338944e-06,-0.01,-0.01,0.49
2020-06-10,-0.01,-0.11,0.19,-5.611672278338944e-06,-0.01,-0.01,0.49
2020-06-11,-0.01,-0.11,0.19,-5.611672278338944e-06,-0.01,0.06,0.46
2020-06-12,-0.01,-0.11,0.19,-5.611672278338944e-06,-0.01,0.07,0.37
2020-06-13,0.06,-0.11,0.19,-3.4067085953878368e-06,-0.01,0.07,0.37
2020-06-14,0.06,-0.11,0.19,-3.4067085953878368e-06,-0.01,0.07,0.37
2020-06-15,0.1,-0.11,0.19,-2.272727272727272e-06,0.1,0.07,0.37
2020-06-16,0.07,-0.11,0.19,-3.1152647975077824e-06,0.07,0.07,0.37
2020-06-17,0.15,-0.11,0.19,-9.661835748792277e-07,0.15,0.05,0.35
2020-06-18,0.15,-0.11,0.19,-9.661835748792277e-07,0.15,0.01,0.31
2020-06-19,0.1,-0.11,0.19,-2.272727272727272e-06,0.1,0.01,0.31
2020-06-20,0.18,-0.11,0.19,-2.35404896421845e-07,0.1,0.01,0.31
2020-06-21,0.13,-0.11,0.19,-1.474926253687318e-06,0.1,0.01,0.31
2020-06-22,0.15,-0.11,0.19,-9.661835748792277e-07,0.15,-0.1,0.2
2020-06-23,0.02,-0.11,0.19,-4.629629629629625e-06,0.02,-0.11,0.19
2020-06-24,0.02,-0.11,0.19,-4.629629629629625e-06,0.02,-0.06,0.24
2020-06-25,0.02,-0.11,0.19,-4.629629629629625e-06,0.02,-0.08,0.22
2020-06-26,0.08,-0.11,0.19,-2.8292181069958784e-06,0.08,-0.09,0.21
2020-06-27,0.07,-0.11,0.19,-3.1152647975077824e-06,0.08,-0.09,0.21
2020-06-28,0.05,-0.11,0.19,-3.703703703703703e-06,0.08,-0.09,0.21
2020-06-29,0.08,-0.11,0.19,-2.8292181069958784e-06,0.08,-0.09,0.21
2020-06-30,0.08,-0.11,0.19,-2.8292181069958784e-06,0.08,-0.05,0.25
2020-07-01,0.08,-0.11,0.19,-2.8292181069958784e-06,0.08,-0.02,0.28
2020-07-02,0.01,-0.11,0.19,-4.950495049504948e-06,0.01,0.01,0.31
2020-07-03,0.01,-0.11,0.19,-4.950495049504948e-06,0.01,-0.01,0.29
2020-07-04,0.01,-0.11,0.19,-4.950495049504948e-06,0.01,-0.01,0.29
2020-07-05,0.01,-0.11,0.19,-4.950495049504948e-06,0.01,-0.01,0.29
2020-07-06,0.01,-0.11,0.19,-4.950495049504948e-06,0.01,0.01,0.31
2020-07-07,0.01,-0.11,0.19,-4.950495049504948e-06,0.01,-0.03,0.27
2020-07-08,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.03,0.27
2020-07-09,0.01,-0.11,0.19,-4.950495049504948e-06,0.01,-0.05,0.25
2020-07-10,0.01,-0.11,0.19,-4.950495049504948e-06,0.01,-0.1,0.2
2020-07-11,0.03,-0.11,0.19,-4.31499460625674e-06,0.01,-0.1,0.2
2020-07-12,0.03,-0.11,0.19,-4.31499460625674e-06,0.01,-0.1,0.2
2020-07-13,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.1,0.2
2020-07-14,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.05,0.35
2020-07-15,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.12,0.18
2020-07-16,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.08,0.22
2020-07-17,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.06,0.24
2020-07-18,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.1,0.9
2020-07-19,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.1,0.9
2020-07-20,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.01,0.29
2020-07-21,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.01,0.31
2020-07-22,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.05,0.25
2020-07-23,0.17,-0.11,0.19,-4.748338081671399e-07,0.17,-0.11,0.19
2020-07-24,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.09,0.21
2020-07-25,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.09,0.21
2020-07-26,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.09,0.21
2020-07-27,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.1,0.2
2020-07-28,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.14,0.16
2020-07-29,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.12,0.18
2020-07-30,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.12,0.18
